Row ID,Order ID,Customer Key,Product Key,Order Date ID,Ship Date ID,Ship Mode ID,Location ID,Sales,Quantity,Discount,Revenue_Before_Discount,Profit,Profit_Margin,Ship_Duration,High_Discount_Flag
1,CA-2016-152156,1,1,1,584,1,1,261.96,2,0.0,261.96,41.9136,0.16000000000000003,3,0
2,CA-2016-152156,1,2,1,584,1,1,731.94,3,0.0,731.94,219.582,0.3,3,0
3,CA-2016-138688,2,3,2,951,1,2,14.62,2,0.0,14.62,6.8714,0.47000000000000003,4,0
4,US-2015-108966,3,4,3,1091,2,3,957.5775,5,0.45,1741.0499999999997,-383.031,-0.4,7,1
5,US-2015-108966,3,5,3,1091,2,3,22.368,2,0.2,27.959999999999997,2.5164,0.1125,7,0
6,CA-2014-115812,4,6,4,1028,2,4,48.86,7,0.0,48.86,14.1694,0.29,5,0
7,CA-2014-115812,4,7,4,1028,2,4,7.28,4,0.0,7.28,1.9656,0.27,5,0
8,CA-2014-115812,4,8,4,1028,2,4,907.152,6,0.2,1133.94,90.7152,0.09999999999999999,5,0
9,CA-2014-115812,4,9,4,1028,2,4,18.504,3,0.2,23.13,5.7825,0.31249999999999994,5,0
10,CA-2014-115812,4,10,4,1028,2,4,114.9,5,0.0,114.9,34.47,0.3,5,0
11,CA-2014-115812,4,11,4,1028,2,4,1706.184,9,0.2,2132.73,85.3092,0.05,5,0
12,CA-2014-115812,4,12,4,1028,2,4,911.424,4,0.2,1139.28,68.3568,0.07500000000000001,5,0
13,CA-2017-114412,5,13,5,694,2,5,15.552,3,0.2,19.439999999999998,5.4432,0.35000000000000003,5,0
14,CA-2016-161389,6,14,6,108,2,6,407.976,3,0.2,509.96999999999997,132.5922,0.32499999999999996,5,0
15,US-2015-118983,7,15,7,651,2,7,68.81,5,0.8,344.05000000000007,-123.858,-1.8,4,1
16,US-2015-118983,7,16,7,651,2,7,2.544,3,0.8,12.720000000000002,-3.816,-1.5,4,1
17,CA-2014-105893,8,17,8,729,2,8,665.88,6,0.0,665.88,13.3176,0.02,7,0
18,CA-2014-167164,9,18,9,1238,1,9,55.5,2,0.0,55.5,9.99,0.18,2,0
19,CA-2014-143336,10,19,10,417,1,10,8.56,2,0.0,8.56,2.4824,0.29,5,0
20,CA-2014-143336,10,20,10,417,1,10,213.48,3,0.2,266.84999999999997,16.011,0.075,5,0
21,CA-2014-143336,10,21,10,417,1,10,22.72,4,0.2,28.4,7.384,0.325,5,0
22,CA-2016-137330,11,22,11,181,2,11,19.46,7,0.0,19.46,5.0596,0.25999999999999995,4,0
23,CA-2016-137330,11,23,11,181,2,11,60.34,7,0.0,60.34,15.6884,0.25999999999999995,4,0
24,US-2017-156909,12,24,12,931,1,12,71.372,2,0.3,101.96000000000001,-1.0196,-0.014285714285714287,2,1
25,CA-2015-106320,13,4,13,1239,2,13,1044.63,3,0.0,1044.63,240.2649,0.22999999999999998,5,0
26,CA-2016-121755,14,25,14,1240,1,14,11.648,2,0.2,14.559999999999999,4.2224,0.36250000000000004,4,0
27,CA-2016-121755,14,26,14,1240,1,14,90.57,3,0.0,90.57,11.7741,0.13,4,0
28,US-2015-150630,15,27,15,482,2,12,3083.43,7,0.5,6166.86,-1665.0522,-0.54,4,1
29,US-2015-150630,15,28,15,482,2,12,9.618,2,0.7,32.059999999999995,-7.0532,-0.7333333333333334,4,1
30,US-2015-150630,15,29,15,482,2,12,124.2,3,0.2,155.25,15.525,0.125,4,0
31,US-2015-150630,15,30,15,482,2,12,3.264,2,0.2,4.079999999999999,1.1016,0.3375,4,0
32,US-2015-150630,15,31,15,482,2,12,86.304,6,0.2,107.88,9.7092,0.11249999999999999,4,0
33,US-2015-150630,15,32,15,482,2,12,6.858,6,0.7,22.859999999999996,-5.715,-0.8333333333333334,4,1
34,US-2015-150630,15,33,15,482,2,12,15.76,2,0.2,19.7,3.546,0.22499999999999998,4,0
35,CA-2017-107727,16,34,16,437,1,15,29.472,3,0.2,36.839999999999996,9.9468,0.33749999999999997,4,0
36,CA-2016-117590,17,35,17,108,3,16,1097.544,7,0.2,1371.93,123.4737,0.11249999999999999,2,0
37,CA-2016-117590,17,36,17,108,3,16,190.92,5,0.6,477.29999999999995,-147.963,-0.775,2,1
38,CA-2015-117415,18,37,18,621,2,17,113.328,9,0.2,141.66,35.415,0.3125,4,0
39,CA-2015-117415,18,38,18,621,2,17,532.3992,3,0.32,782.94,-46.9764,-0.08823529411764706,4,1
